"New_species","ID","Year","Area","Perimeter","Entrance_distance","Volume","Entrances_number","Bat_number","Area_scaled","Perimeter_scaled","Entrance_distance_scaled","Volume_scaled","ED_shifted_min"
"Enil","96",2024,35.581,39.839,12.986,78.2782,1,0,-0.394902004017111,-0.684134566253996,0.212142015000701,-0.313117110105805,7.5
"Enil","96",2025,35.581,39.839,12.986,78.2782,1,0,-0.394902004017111,-0.684134566253996,0.212142015000701,-0.313117110105805,7.5
"Enil","99/335",2013,38.963,41.289,13.254,89.6149,1,0,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2014,38.963,41.289,13.254,89.6149,1,0,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2015,38.963,41.289,13.254,89.6149,1,0,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2016,38.963,41.289,13.254,89.6149,1,0,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2017,38.963,41.289,13.254,89.6149,1,1,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2018,38.963,41.289,13.254,89.6149,1,2,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2019,38.963,41.289,13.254,89.6149,1,0,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2020,38.963,41.289,13.254,89.6149,1,0,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2021,38.963,41.289,13.254,89.6149,1,3,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2022,38.963,41.289,13.254,89.6149,1,0,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2023,38.963,41.289,13.254,89.6149,1,1,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2024,38.963,41.289,13.254,89.6149,1,0,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Enil","99/335",2025,38.963,41.289,13.254,89.6149,1,3,-0.333382437772848,-0.640348798647158,0.275038716053962,-0.254647361630693,7.768
"Myotis","1-180",2013,299.448,221.422,20.058,821.5596,4,0,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2014,299.448,221.422,20.058,821.5596,4,1,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2015,299.448,221.422,20.058,821.5596,4,0,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2016,299.448,221.422,20.058,821.5596,4,1,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2017,299.448,221.422,20.058,821.5596,4,2,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2018,299.448,221.422,20.058,821.5596,4,0,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2019,299.448,221.422,20.058,821.5596,4,3,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2020,299.448,221.422,20.058,821.5596,4,1,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2021,299.448,221.422,20.058,821.5596,4,2,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2022,299.448,221.422,20.058,821.5596,4,0,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2023,299.448,221.422,20.058,821.5596,4,6,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2024,299.448,221.422,20.058,821.5596,4,3,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","1-180",2025,299.448,221.422,20.058,821.5596,4,0,4.40491567374012,4.79914201260968,1.87186391742109,3.52040380023221,14.572
"Myotis","10",2013,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2014,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2015,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2016,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2017,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2018,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2019,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2020,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2021,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2022,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2023,43.527,65.822,8.097,82.7013,3,NA,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2024,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","10",2025,43.527,65.822,8.097,82.7013,3,0,-0.25036194683884,0.10047619217942,-0.93525340085525,-0.290304691634798,2.611
"Myotis","102",2013,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2014,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2015,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2016,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2017,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2018,42.91,54.67,11.891,85.82,1,1,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2019,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2020,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2021,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2022,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2023,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2024,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","102",2025,42.91,54.67,11.891,85.82,1,0,-0.26158535676572,-0.236281656338821,-0.0448426404221391,-0.274219798802728,6.405
"Myotis","103",2013,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2014,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2015,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2016,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2017,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2018,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2019,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2020,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2021,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2022,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2023,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2024,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","103",2025,38.143,56.032,11.733,72.4717,1,0,-0.348298476897714,-0.195153231869502,-0.081923531341599,-0.343064501720714,6.247
"Myotis","104",2013,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2014,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2015,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2016,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2017,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2018,44.584,61.481,9.808,84.7096,3,1,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2019,44.584,61.481,9.808,84.7096,3,NA,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2020,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2021,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2022,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2023,44.584,61.481,9.808,84.7096,3,1,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2024,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","104",2025,44.584,61.481,9.808,84.7096,3,0,-0.231134808601055,-0.0306093369111186,-0.533700208683122,-0.279946757150991,4.322
"Myotis","106",2013,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2014,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2015,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2016,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2017,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2018,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2019,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2020,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2021,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2022,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2023,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2024,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","106",2025,42.563,54.138,11.693,80.8697,1,0,-0.267897387956365,-0.252346503488364,-0.0913110986629816,-0.299751284673955,6.207
"Myotis","108",2013,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2014,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2015,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2016,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2017,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2018,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2019,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2020,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2021,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2022,36.457,55.689,8.91,72.914,2,0,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2023,36.457,55.689,8.91,72.914,2,NA,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2024,36.457,55.689,8.91,72.914,2,0,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","108",2025,36.457,55.689,8.91,72.914,2,0,-0.378967308561767,-0.205510830689602,-0.744451095048155,-0.340783311449247,3.424
"Myotis","11",2013,94.067,95.21,21.93,231.8301,2,10,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2014,94.067,95.21,21.93,231.8301,2,14,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2015,94.067,95.21,21.93,231.8301,2,13,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2016,94.067,95.21,21.93,231.8301,2,13,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2017,94.067,95.21,21.93,231.8301,2,16,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2018,94.067,95.21,21.93,231.8301,2,21,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2019,94.067,95.21,21.93,231.8301,2,26,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2020,94.067,95.21,21.93,231.8301,2,24,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2021,94.067,95.21,21.93,231.8301,2,27,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2022,94.067,95.21,21.93,231.8301,2,26,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2023,94.067,95.21,21.93,231.8301,2,23,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2024,94.067,95.21,21.93,231.8301,2,19,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","11",2025,94.067,95.21,21.93,231.8301,2,10,0.668975391418124,0.987908011786132,2.31120206806178,0.478836542268831,16.444
"Myotis","121",2013,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2014,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2015,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2016,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2017,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2018,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2019,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2020,39.524,49.808,10.063,75.0956,1,0,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2021,39.524,49.808,10.063,75.0956,1,0,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2022,39.524,49.808,10.063,75.0956,1,0,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2023,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2024,39.524,49.808,10.063,75.0956,1,0,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","121",2025,39.524,49.808,10.063,75.0956,1,1,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Myotis","140",2013,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2014,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2015,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2016,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2017,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2018,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2019,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2020,39.458,54.502,8.232,78.916,3,0,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2021,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2022,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2023,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Myotis","140",2024,39.458,54.502,8.232,78.916,3,0,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
